x,y,z,img_path,img_label
-0.9632651,1.4871576,1.072284,./GTA/02_images/03270.png,GTA
-1.3726978,1.7206612,0.7318097,./GTA/02_images/02801.png,GTA
0.45757222,0.012778346,1.2370439,./bdd100k/seg/images/train/1fe39b85-7ba605b6.jpg,BDD
-0.9613702,0.9670944,0.4157712,./GTA/03_images/05836.png,GTA
-0.0063445177,-0.92047554,-0.5629852,./cityscape/leftImg8bit/test/berlin/berlin_000122_000019_leftImg8bit.png,cityscape
0.35145816,-0.83282423,0.9095924,./cityscape/leftImg8bit/val/lindau/lindau_000055_000019_leftImg8bit.png,cityscape
-1.2404778,1.6153932,0.99523795,./GTA/02_images/02820.png,GTA
0.89687425,0.3338857,-0.375911,./bdd100k/seg/images/test/d193db58-4c5eb11d.jpg,BDD
0.0055667153,-0.98450613,0.642846,./cityscape/leftImg8bit/val/frankfurt/frankfurt_000001_066832_leftImg8bit.png,cityscape
-0.5188674,-0.0826293,-1.2382401,./bdd100k/seg/images/train/099601d0-1b31f4ff.jpg,BDD
-1.2025374,1.3508726,0.4181372,./GTA/03_images/06915.png,GTA
0.49886695,0.35127494,-0.41083127,./bdd100k/seg/images/train/8dbfc83c-0f683220.jpg,BDD
0.96842813,-0.3942642,0.42217237,./bdd100k/seg/images/train/5912fad1-49960001.jpg,BDD
-1.3141963,1.5311434,0.443788,./GTA/02_images/04431.png,GTA
-0.44466603,1.1406976,-0.7797054,./bdd100k/seg/images/train/25b7445c-5f7d0000.jpg,BDD
0.89801896,-1.2713313,0.51961315,./cityscape/leftImg8bit/val/munster/munster_000152_000019_leftImg8bit.png,cityscape
0.9011889,-0.2812165,-0.4274089,./cityscape/leftImg8bit/test/berlin/berlin_000468_000019_leftImg8bit.png,cityscape
0.3466166,0.27827376,-1.0895727,./bdd100k/seg/images/train/1462e08b-8ee18629.jpg,BDD
-0.5659771,0.085967466,-1.4376175,./bdd100k/seg/images/train/02504d95-8ede0c80.jpg,BDD
0.8771629,-1.3957039,0.039659116,./cityscape/leftImg8bit/train/ulm/ulm_000054_000019_leftImg8bit.png,cityscape
0.5721379,-0.87104666,0.75767267,./cityscape/leftImg8bit/train/bochum/bochum_000000_025746_leftImg8bit.png,cityscape
1.3382705,-1.9297411,1.3405813,./bdd100k/seg/images/train/124f0efb-d0339f1e.jpg,BDD
0.114044145,-0.88836694,0.532347,./bdd100k/seg/images/train/2198ea8d-c6d53417.jpg,BDD
-1.3291216,1.510093,0.34456268,./GTA/02_images/04220.png,GTA
0.11861675,-0.19447345,-0.46508223,./bdd100k/seg/images/val/857308ee-ede3c311.jpg,BDD
1.1378385,-1.5291213,0.9998618,./bdd100k/seg/images/val/8dd5f9b7-00000000.jpg,BDD
0.7194489,-0.6523377,0.42177975,./cityscape/leftImg8bit/train/ulm/ulm_000091_000019_leftImg8bit.png,cityscape
-0.46417984,0.361866,-1.041192,./bdd100k/seg/images/train/3bb1095b-e8547171.jpg,BDD
-0.11534811,0.6733887,-0.9244283,./bdd100k/seg/images/test/ea5bdec7-9a5c534c.jpg,BDD
-1.1335225,1.3637034,0.23442067,./GTA/03_images/06719.png,GTA
0.7032062,-0.87695915,0.9482111,./cityscape/leftImg8bit/train/stuttgart/stuttgart_000114_000019_leftImg8bit.png,cityscape
0.7815691,-0.06074165,-0.5561133,./bdd100k/seg/images/train/60994578-2ec14c73.jpg,BDD
