x,y,img_path,img_label
-0.84919715,-0.62622416,../bdd100k/seg/images/train/7e8a2803-a034c5d8.jpg,BDD
0.7273656,1.5185434,../GTA/02_images/04828.png,GTA
1.6985685,1.3205526,../GTA/03_images/06420.png,GTA
-0.18576026,-1.7591515,../bdd100k/seg/images/train/700c3115-5b5b7652.jpg,BDD
-0.23514666,-1.7966849,../cityscape/leftImg8bit/test/berlin/berlin_000292_000019_leftImg8bit.png,cityscape
-0.31187367,0.6021523,../GTA/01_images/02378.png,GTA
0.4359393,0.26106483,../GTA/03_images/07019.png,GTA
0.15336163,1.4503425,../bdd100k/seg/images/test/c62ae733-00000000.jpg,BDD
0.46592087,0.2387223,../GTA/03_images/06482.png,GTA
-0.46344903,0.21959649,../GTA/03_images/09247.png,GTA
1.3787328,1.5669655,../GTA/03_images/06835.png,GTA
-0.4456884,-0.06847597,../bdd100k/seg/images/val/9b656e8f-c53b0001.jpg,BDD
-0.5957794,0.93679196,../GTA/03_images/07886.png,GTA
-0.86091506,-0.58963394,../bdd100k/seg/images/train/c877c1e3-775ff079.jpg,BDD
-1.0473089,-0.4289831,../cityscape/leftImg8bit/test/berlin/berlin_000010_000019_leftImg8bit.png,cityscape
1.9297045,1.4708514,../GTA/02_images/04689.png,GTA
1.3153623,1.4871118,../GTA/02_images/04031.png,GTA
1.4021776,1.2975494,../GTA/03_images/06776.png,GTA
0.6276552,0.8775496,../bdd100k/seg/images/train/6ff601f6-00000000.jpg,BDD
0.6502567,1.5241047,../GTA/03_images/05320.png,GTA
-0.2196336,-1.4488578,../cityscape/leftImg8bit/train/bremen/bremen_000040_000019_leftImg8bit.png,cityscape
-0.050284553,-0.99390423,../bdd100k/seg/images/train/24179c38-b8325990.jpg,BDD
-0.6905485,0.24676654,../bdd100k/seg/images/train/48ad9d98-3416dd20.jpg,BDD
-0.090969294,-1.090473,../cityscape/leftImg8bit/train/weimar/weimar_000048_000019_leftImg8bit.png,cityscape
0.3117062,-1.1467192,../cityscape/leftImg8bit/val/frankfurt/frankfurt_000000_022254_leftImg8bit.png,cityscape
1.2410483,1.3110204,../GTA/02_images/04556.png,GTA
1.0505291,1.5930213,../GTA/01_images/00125.png,GTA
1.0841649,1.5778944,../GTA/03_images/09677.png,GTA
-0.62812734,-0.4152739,../bdd100k/seg/images/train/bceeedca-f0bf8606.jpg,BDD
-0.037775494,-1.1740992,../bdd100k/seg/images/train/37a593fc-13a55cce.jpg,BDD
1.2394538,1.1328416,../bdd100k/seg/images/train/1c22af9e-991b11d4.jpg,BDD
-0.8700242,-0.5731701,../cityscape/leftImg8bit/train/hanover/hanover_000000_047870_leftImg8bit.png,cityscape
-0.75357205,-0.66919136,../cityscape/leftImg8bit/test/munich/munich_000363_000019_leftImg8bit.png,cityscape
0.5269666,-1.027484,../cityscape/leftImg8bit/train/strasbourg/strasbourg_000000_027771_leftImg8bit.png,cityscape
-0.6379213,-1.068102,../bdd100k/seg/images/train/02e237f1-00000000.jpg,BDD
-0.49757028,0.18270959,../bdd100k/seg/images/train/74423034-f61ba76a.jpg,BDD
-0.63303417,0.4177765,../bdd100k/seg/images/test/d1b1f448-f1de3883.jpg,BDD
0.45830265,1.4297782,../GTA/01_images/01472.png,GTA
-1.1116391,-0.011851363,../bdd100k/seg/images/train/93a17dad-afed874b.jpg,BDD
0.16018495,-0.061650164,../GTA/03_images/08267.png,GTA
-0.13133577,-1.5381387,../cityscape/leftImg8bit/test/berlin/berlin_000231_000019_leftImg8bit.png,cityscape
-0.19795382,0.50661004,../GTA/03_images/06241.png,GTA
0.82600814,1.5464693,../GTA/01_images/01543.png,GTA
-0.5742369,0.14579475,../bdd100k/seg/images/test/d60c58b3-504403b0.jpg,BDD
1.9802909,1.4721565,../GTA/02_images/03544.png,GTA
-0.37209052,-1.8926879,../cityscape/leftImg8bit/train/dusseldorf/dusseldorf_000080_000019_leftImg8bit.png,cityscape
-0.6284609,-0.718516,../cityscape/leftImg8bit/train/hanover/hanover_000000_055937_leftImg8bit.png,cityscape
-0.5950562,1.4348946,../bdd100k/seg/images/test/e200f312-b0758199.jpg,BDD
-0.008421208,0.1701179,../bdd100k/seg/images/test/ed5f05b1-a5310001.jpg,BDD
-0.48708037,-0.85289806,../cityscape/leftImg8bit/train/bochum/bochum_000000_007150_leftImg8bit.png,cityscape
-0.94589096,0.3521807,../bdd100k/seg/images/val/81a3df53-26d7a2c7.jpg,BDD
-0.30840597,-1.3232428,../cityscape/leftImg8bit/train/tubingen/tubingen_000113_000019_leftImg8bit.png,cityscape
-0.8853981,0.18891282,../bdd100k/seg/images/train/21609974-1e6c098f.jpg,BDD
-1.1498402,0.012824407,../bdd100k/seg/images/train/3dd41cf4-28991c3a.jpg,BDD
-0.27068573,-1.7690202,../cityscape/leftImg8bit/train/dusseldorf/dusseldorf_000070_000019_leftImg8bit.png,cityscape
-0.42364857,-1.8987273,../cityscape/leftImg8bit/val/munster/munster_000116_000019_leftImg8bit.png,cityscape
0.11054433,-1.2210796,../cityscape/leftImg8bit/train/hanover/hanover_000000_010553_leftImg8bit.png,cityscape
-0.1578652,0.18306558,../GTA/03_images/09920.png,GTA
0.848771,1.5621123,../GTA/01_images/00166.png,GTA
0.04244646,1.5100745,../bdd100k/seg/images/train/3fd1e923-bcb08a1c.jpg,BDD
0.7984877,0.7960793,../bdd100k/seg/images/val/99ab7304-32307eea.jpg,BDD
-0.43377748,0.46392742,../bdd100k/seg/images/train/150a973a-6772fd20.jpg,BDD
-0.18498951,-1.7191992,../cityscape/leftImg8bit/val/munster/munster_000104_000019_leftImg8bit.png,cityscape
-0.96356547,0.1037941,../cityscape/leftImg8bit/val/frankfurt/frankfurt_000000_012121_leftImg8bit.png,cityscape
1.8235081,1.4641299,../GTA/01_images/01755.png,GTA
