x,y,z,img_path,img_label
-0.23894972,0.3315944,-0.3698623,./GTA/01_images/01980.png,GTA
0.27499884,-0.3795284,0.42441848,./cityscape/leftImg8bit/train/aachen/aachen_000005_000019_leftImg8bit.png,cityscape
-0.16322523,0.24056694,-0.26118788,./bdd100k/seg/images/test/e200f312-b0758199.jpg,BDD
0.12863636,-0.17236045,0.19540021,./bdd100k/seg/images/test/e54a4bf9-a6f2ae4a.jpg,BDD
-0.33472493,0.46319768,-0.51733065,./GTA/03_images/08162.png,GTA
-0.40394035,0.553653,-0.62108004,./GTA/02_images/04964.png,GTA
0.23329791,-0.3181309,0.35772148,./cityscape/leftImg8bit/train/weimar/weimar_000020_000019_leftImg8bit.png,cityscape
-0.22490051,0.3134495,-0.34895092,./GTA/03_images/07567.png,GTA
0.18803832,-0.25563058,0.28786173,./cityscape/leftImg8bit/train/hamburg/hamburg_000000_045704_leftImg8bit.png,cityscape
0.23966195,-0.33468917,0.37226832,./cityscape/leftImg8bit/train/tubingen/tubingen_000007_000019_leftImg8bit.png,cityscape
0.023981135,-0.022421233,0.030529296,./bdd100k/seg/images/test/dad78646-f489c1a6.jpg,BDD
-0.113804206,0.17310086,-0.18537682,./bdd100k/seg/images/val/808ff399-79b2c310.jpg,BDD
-0.29279584,0.40529913,-0.45260057,./GTA/02_images/03835.png,GTA
0.16496798,-0.2207584,0.25039995,./cityscape/leftImg8bit/val/munster/munster_000140_000019_leftImg8bit.png,cityscape
-0.055904955,0.088812575,-0.09336216,./bdd100k/seg/images/train/37af0bb7-45e114db.jpg,BDD
0.22231278,-0.30077276,0.3394377,./cityscape/leftImg8bit/test/berlin/berlin_000493_000019_leftImg8bit.png,cityscape
-0.10763433,0.16404942,-0.17551038,./GTA/03_images/08232.png,GTA
0.17240855,-0.23505193,0.26434624,./bdd100k/seg/images/train/31134777-05a68a69.jpg,BDD
-0.40025198,0.5473122,-0.61462533,./GTA/02_images/04961.png,GTA
-0.11648331,0.1745209,-0.18812503,./bdd100k/seg/images/train/2f2e4c91-bb3746ce.jpg,BDD
-0.13099888,0.19136743,-0.20859252,./bdd100k/seg/images/train/a1a42dcd-daa8d404.jpg,BDD
0.24427558,-0.33341333,0.37474567,./cityscape/leftImg8bit/train/stuttgart/stuttgart_000129_000019_leftImg8bit.png,cityscape
-0.047028873,0.07051501,-0.075985655,./GTA/03_images/06334.png,GTA
0.23535168,-0.3240475,0.36276516,./cityscape/leftImg8bit/test/berlin/berlin_000442_000019_leftImg8bit.png,cityscape
0.016379343,-0.010673289,0.018041024,./bdd100k/seg/images/train/10efbba4-606bb443.jpg,BDD
-0.13948447,0.2101479,-0.22597295,./bdd100k/seg/images/test/f3c2a926-00000000.jpg,BDD
-0.10005676,0.14959706,-0.1614121,./bdd100k/seg/images/train/50f8f5a4-7f1039e0.jpg,BDD
-0.1000196,0.14242853,-0.15701614,./GTA/03_images/06303.png,GTA
-0.442082,0.60201687,-0.67735076,./GTA/02_images/03684.png,GTA
-0.41318265,0.5649699,-0.6344603,./GTA/03_images/05680.png,GTA
0.20293695,-0.27722403,0.31146026,./cityscape/leftImg8bit/train/stuttgart/stuttgart_000093_000019_leftImg8bit.png,cityscape
0.018938567,-0.016933158,0.023643393,./bdd100k/seg/images/train/bb9071ac-eb6e330c.jpg,BDD
0.11816402,-0.15127818,0.17520484,./bdd100k/seg/images/train/137e6989-1fece512.jpg,BDD
0.22590053,-0.31100678,0.3481839,./cityscape/leftImg8bit/train/bochum/bochum_000000_011255_leftImg8bit.png,cityscape
-0.15878497,0.22512525,-0.2486872,./bdd100k/seg/images/train/17d1d81c-f5009383.jpg,BDD
-0.12826936,0.1916915,-0.20686924,./bdd100k/seg/images/test/af0a7e94-89b00000.jpg,BDD
0.08714774,-0.11288336,0.13002156,./bdd100k/seg/images/train/0e31726a-00000000.jpg,BDD
0.23278463,-0.31776315,0.35712886,./cityscape/leftImg8bit/train/cologne/cologne_000003_000019_leftImg8bit.png,cityscape
0.16901149,-0.22428454,0.25540435,./cityscape/leftImg8bit/train/zurich/zurich_000062_000019_leftImg8bit.png,cityscape
